,전주,,,,,,,,,,,,,,
,,,,,湳㵈,㳲,㶂,湳㶂,㳲㵈,㳲,㶂,,湳㵈,㳲,-㵈,㵉㵈
,,,,,,,,,,,,,,,,
,,㵈,,,湳㵈,㳲,㶂,湳㶂,㳲㵈,㳲,㶂,,湳㵈,㳲,湳㵈,㳲
,,,,,약,속해요,이,순간이,,다지,나고,,다,시보게,,되는
,,湳,,△,-林,汰㴌㴌,--汰,汰㴌㴌,,汰㴌,淋㴌,,△㴌,㶂㶐湳,,淋㴌
,,,,,모,든걸버,리,고,그,대곁에,서,서,남,은길을,가,리
,,,△,,-淋,㶂㶐湳,-淋,㴌,△㴌,汰潢南,-㴌,㴌,△㴌,汰潢南,-㴌,汰
,,걸,,,인연,이,라,고,하,죠,,,거부,할,수,가
,,-潢,,△,㴌淋,湳,-湳,㶐,-淋湳,-湳,,△,㴌淋,湳,-㶂,㳲
,,죠,,,내생,애,이,처럼아,름,다운날,,,또다,시,울,수있
,,-湳,,△,湳㶐,㶂,㶐,㳲㶂㶐,-㶂,㶂㶐㶂,,△,湳㵈,㳲,㶂,湳㵈
,,요,,,고달,픈,삶,의,길,에,,,당신,은,선,물
,,-㶐,,,㴌淋,湳,-湳,㶐,-湳,-湳,,,㴌淋,湳,-㶂,㳲
,,걸,,,이사,랑,이,녹슬,지않,도,록,,늘닦,아,비,출
,,-湳,,△,湳㵈,㳲,㶂,湳㶂,㳲㵈,㳲,㶂,△,湳㶐,㶂,-㳲,㶐
,,요,,,이생,에,못,한,사,랑,,,이생,에,못,한
,,-湳,,△,湳淋,湳,-㶂,㶐,-㶂,-㶐湳,,△,湳淋湳,湳,-㶂,㳲
,,연,,,먼길,돌,아,다시,만나,는,날,,나를,놓,지,말
,,-湳,,△,湳㵈,㳲,㶂,湳㶂,㳲㵈,㳲,㶂,△,湳㶐,㶂,-㳲,㶐
,,,아,요,,,,,,,,,,,,
,,,湳淋湳,-湳,,,,,△,,,,,,,
